date_fetched,fetched_at,event_id,ts_start,tourney,surface,p1,p2,wu,wv,bookmaker_id,bookmaker_name,p1_odds,p2_odds,p1_opening,p2_opening
2026-05-04,2026-05-04T06:01:19Z,v3S1I6xe,1777881600,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Merida Aguilar D.,McDonald M.,daniel-merida-aguilar,mcdonald-mackenzie,851,BetMGM.us,1.2,4.25,1.2,4.25
2026-05-04,2026-05-04T06:01:19Z,xIIQ3n64,1777881600,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Vasami J.,Barrios Vera T.,vasami-jacopo,barrios-vera-marcelo-tomas,851,BetMGM.us,2.15,1.65,2.15,1.65
2026-05-04,2026-05-04T06:01:19Z,z7wOPlpL,1777887000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Carreno-Busta P.,Damm M.,carreno-busta-pablo,damm-martin-2003,851,BetMGM.us,1.48,2.54,1.5,2.5
2026-05-04,2026-05-04T06:01:19Z,raLGRAF8,1777887000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Kypson P.,Pinnington Jones J.,kypson-patrick,pinnington-jones-jack,851,BetMGM.us,1.36,2.95,1.36,2.95
2026-05-04,2026-05-04T06:01:19Z,UiFI58yh,1777887000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Lajovic D.,Choinski J.,lajovic-dusan,choinski-jan,851,BetMGM.us,1.6,2.25,1.65,2.15
2026-05-04,2026-05-04T06:01:19Z,tCrPLKRk,1777887000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Riedi L.,Gaubas V.,riedi-leandro,gaubas-vilius,851,BetMGM.us,2.95,1.36,2.8,1.4
2026-05-04,2026-05-04T06:01:19Z,Wb0a0DaC,1777887000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Travaglia S.,Wawrinka S.,travaglia-stefano,wawrinka-stan,851,BetMGM.us,1.8,1.95,1.8,1.95
2026-05-04,2026-05-04T06:01:19Z,EPtXJbd2,1777887000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,van Assche L.,Dellien H.,van-assche-luca,dellien-hugo,851,BetMGM.us,1.6,2.25,1.6,2.25
2026-05-04,2026-05-04T06:01:19Z,AVGY1QzH,1777892400,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Bonzi B.,Svrcina D.,bonzi-benjamin,svrcina-dalibor,851,BetMGM.us,1.72,2.05,1.83,1.91
2026-05-04,2026-05-04T06:01:19Z,KdEDE3KM,1777892400,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Budkov Kjaer N.,Virtanen O.,budkov-kjaer-nicolai,virtanen-otto,851,BetMGM.us,1.6,2.25,1.6,2.25
